Ligand_SMILES,IC50_nM,Class,Compound_ID,Docking_Score
C#CCCCC(=O)Nc1ccc(C(=O)c2ccc(NCc3ccc(-c4ccc(O)c(C(=O)O)c4)o3)cc2)cc1.N,500.0,1,CMPD_000,-11.751243003490384
C#CCN(Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1.N.N,1600.0,0,CMPD_001,-12.067852230572791
C#CCNCc1ccc(-c2ccc(O)c(C(=O)O)c2)o1.N,2000.0,0,CMPD_002,-11.674555810933654
C#Cc1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,456.0,1,CMPD_003,-11.23812035179234
C/C=C/c1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,215.8,1,CMPD_004,-12.11690412735994
C=C(c1cccc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)c1)C(F)(F)F,530.5,1,CMPD_005,-12.116644158470349
C=CCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1,500000.0,0,CMPD_006,-10.810393668246306
CC#Cc1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F,271.2,1,CMPD_007,-11.616065755421376
CC#Cc1cc(ccc1F)-c1nn(c(CC2CC2)c1Cc1ccc(c(F)c1)S(N)(=O)=O)-c1nc(cs1)C(O)=O,271.2,1,CMPD_008,-12.234520312965309
CC#Cc1cccc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)c1,349.2,1,CMPD_009,-11.728440698204224
CC#Cc1cccc(c1)-c1nn(c(CC2CC2)c1Cc1ccc(c(F)c1)S(N)(=O)=O)-c1nc(cs1)C(O)=O,349.2,1,CMPD_010,-12.231429566403438
CC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)NCC(N)=O)[C@@H](C)O)C(C)C,40000.0,0,CMPD_011,-12.20086495646513
CC(=O)N1CCN(CC1)c1ccc(Cl)c(C2CC(O)=C(Sc3ccccc3Cl)C(=O)C2)c1Cl,100.0,1,CMPD_012,-11.878938944216184
CC(=O)N1CCN(CC1)c1ccc(cc1)C1(CC(O)=C(Sc2ccccc2Cl)C(=O)N1)c1ccsc1,5.0,1,CMPD_013,-12.95663620232886
CC(=O)N1CCN(c2ccc(C3(c4ccsc4)CC(O)=C(Sc4ccccc4Cl)C(=O)N3)cc2)CC1,5.0,1,CMPD_014,-12.862454996256478
CC(=O)N1CCN(c2ccc(Cl)c(C3CC(=O)C(Sc4ccccc4Cl)=C(O)C3)c2Cl)CC1,100.0,1,CMPD_015,-12.281063844619688
CC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,40000.0,0,CMPD_016,-12.474415639847214
CC(=O)Nc1cc(-c2ccccc2)nn1-c1nc(C(=O)O)cs1,33285.0,0,CMPD_017,-11.816248413436083
CC(=O)Nc1cc(nn1-c1nc(cs1)C(O)=O)-c1ccccc1,9570.0,0,CMPD_018,-12.446356117684047
CC(=O)Nc1ccc(SC2=C(O)CC(c3ccccc3)CC2=O)cc1,100000.0,0,CMPD_019,-12.626151929867646
CC(=O)Nc1ccc2nc(C)sc2c1,500000.0,0,CMPD_020,-10.867175691539224
CC(=O)Nc1cccc(C2(c3ccsc3)CC(O)=C(Sc3ccccc3Cl)C(=O)O2)c1,43.0,1,CMPD_021,-12.112853830242925
CC(=O)Nc1cccc(c1)C1(CC(O)=C(Sc2ccccc2Cl)C(=O)O1)c1ccsc1,43.0,1,CMPD_022,-11.966201577655694
CC(=O)Nc1ncc(-c2cccc(C(=O)O)c2)nc1N[C@H](C)c1ccccc1,100000.0,0,CMPD_023,-12.63237417230673
CC(=O)OC1=C(Sc2cc(Cl)ccc2Cl)C(=O)NC(C1)(c1ccsc1)c1ccc(cc1)N1CCOCC1,30000.0,0,CMPD_024,-12.248191442022591
CC(=O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](COC(=O)c3ccccc3)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,500000.0,0,CMPD_025,-11.544538781145068
CC(=O)O[C@@H]1[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](OC(=O)[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(C(=O)O)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)O[C@H]1C,500000.0,0,CMPD_026,-12.175496864711151
CC(C#Cc1cc(-c2nn(-c3nc(C(=O)O)cs3)c(CC3CC3)c2Cc2ccc(S(N)(=O)=O)c(F)c2)ccc1F)C1COC1,511.0,1,CMPD_027,-11.811742270823077
